"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"CB01_01";"CB01_02";"CB01_03";"CB01_04";"CB01_05";"CB01_06";"CB01_07";"CB01_08";"CB01_09";"CB01_10";"D001";"D002";"D003_01";"D004_01";"DT01_01";"DT01_02";"DT01_03";"DT01_04";"DT01_05";"DT01_06";"DT01_07";"DT01_08";"DT01_09";"DT01_10";"DT01_11";"DT01_12";"DT01_13";"DT01_14";"DT01_15";"TIME001";"TIME002";"TIME003";"TIME004";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
43;;;"base";"interview";2025-12-10 15:09:54;3;4;4;4;5;4;5;4;3;4;;;;;;;;;;;;;;;;;;;;15;41;;;56;;2025-12-10 15:10:50;;0;0;2;2;0;0;1.1
44;;;"base";"interview";2025-12-10 15:11:09;3;2;2;4;4;3;5;2;3;1;;;;;;;;;;;;;;;;;;;;3;55;;;58;;2025-12-10 15:12:07;;0;0;2;2;0;0;1.95
47;;;"base";"interview";2025-12-10 15:11:42;4;4;3;4;4;4;3;4;4;4;2;2;"13";5;4;7;1;1;4;3;6;7;7;7;5;5;7;7;6;13;70;113;18;214;;2025-12-10 15:15:16;"complete";1;0;4;4;0;0;1
50;;;"base";"interview";2025-12-10 15:12:26;2;2;2;4;4;4;2;3;2;2;;;;;;;;;;;;;;;;;;;;18;58;;;76;;2025-12-10 15:13:42;;0;0;2;2;0;0;0.81
54;;;"base";"interview";2025-12-10 15:15:18;4;5;3;2;4;5;5;2;3;4;3;2;"17";7;2;5;3;6;7;7;2;6;3;4;6;7;7;7;2;51;90;198;28;324;;2025-12-10 15:21:25;"complete";1;0;4;4;0;0;0.59
57;;;"base";"interview";2025-12-10 15:19:55;2;2;1;5;2;4;4;4;5;2;4;3;"17";6;2;2;1;3;3;6;3;4;6;5;6;5;7;6;4;16;127;230;48;421;;2025-12-10 15:26:56;"complete";1;0;4;4;0;0;0.52
68;;;"base";"interview";2025-12-10 15:27:28;2;3;2;5;4;4;5;4;2;2;2;4;"15";6;6;4;5;6;5;2;3;7;1;3;6;7;6;5;5;13;68;139;30;250;;2025-12-10 15:31:38;"complete";1;0;4;4;0;0;0.83
71;;;"base";"interview";2025-12-10 15:31:21;4;4;3;2;4;4;4;4;2;4;2;3;"15";5;6;6;6;4;5;4;2;3;6;4;4;4;4;5;4;9;50;103;19;181;;2025-12-10 15:34:22;"complete";1;0;4;4;0;0;1.18
75;;;"base";"interview";2025-12-10 15:40:47;3;3;3;4;4;4;5;4;3;2;2;3;"18";5;4;2;3;4;3;3;5;6;3;5;3;4;3;4;2;36;96;182;68;336;;2025-12-10 15:47:09;"complete";1;0;4;4;0;0;0.5
76;;;"base";"interview";2025-12-10 15:41:19;3;2;3;4;4;4;4;2;3;3;1;1;"27";5;3;1;2;2;2;6;6;5;7;6;2;2;3;3;2;27;101;134;15;277;;2025-12-10 15:45:56;"complete";1;0;4;4;0;0;0.86
77;;;"base";"interview";2025-12-10 15:42:20;1;1;3;2;3;4;4;4;4;5;3;2;"21";6;7;7;6;6;7;1;1;1;5;1;1;1;2;2;2;40;73;135;36;284;;2025-12-10 15:47:04;"complete";1;0;4;4;0;0;0.69
78;;;"base";"interview";2025-12-10 15:50:38;2;2;2;4;4;4;4;2;1;3;1;4;"16";5;3;6;6;1;5;3;3;3;3;3;4;5;5;5;5;8;35;113;19;175;;2025-12-10 15:53:33;"complete";1;0;4;4;0;0;1.32
87;;;"base";"interview";2025-12-10 16:13:28;3;3;1;2;4;3;3;4;3;3;3;1;"16";6;6;4;3;3;3;5;6;7;3;5;5;5;5;5;5;38;59;78;14;189;;2025-12-10 16:16:37;"complete";1;0;4;4;0;0;1.17
88;;;"base";"interview";2025-12-10 16:14:23;3;2;1;2;3;3;2;2;1;1;1;2;"17";6;6;7;4;5;4;3;3;2;2;3;3;5;4;5;1;184;131;215;25;379;;2025-12-10 16:23:38;"complete";1;0;4;4;0;0;0.52
97;;;"base";"interview";2025-12-10 16:22:37;5;4;3;5;3;3;2;4;3;1;4;4;"33";3;6;5;1;6;2;1;2;4;5;1;4;1;1;1;1;44;137;429;41;357;;2025-12-10 16:33:29;"complete";1;0;4;4;0;0;0.38
99;;;"base";"interview";2025-12-10 16:32:32;5;2;2;3;2;4;5;4;4;2;1;4;"14";4;7;4;7;6;4;7;7;5;1;4;1;1;1;1;1;5;47;73;13;138;;2025-12-10 16:34:50;"complete";1;0;4;4;0;0;1.65
100;;;"base";"interview";2025-12-10 16:33:37;4;2;2;2;4;4;4;3;3;2;2;4;"27";6;3;3;1;3;3;5;6;4;7;1;1;2;3;3;2;1;68;181;14;264;;2025-12-10 16:38:02;"complete";1;0;4;4;0;0;1.58
101;;;"base";"interview";2025-12-10 16:35:45;1;2;4;4;2;3;4;1;2;2;1;4;"15";5;6;4;1;1;7;2;5;1;2;1;1;1;2;1;1;1944;87;136;18;249;;2025-12-10 17:12:10;"complete";1;0;4;4;0;0;0.75
109;;;"base";"interview";2025-12-10 17:04:30;4;3;2;3;2;5;3;4;3;4;2;4;"12";4;7;7;6;4;7;1;4;6;7;3;2;7;6;7;4;8;107;196;29;340;;2025-12-10 17:10:10;"complete";1;0;4;4;0;0;0.77
110;;;"base";"interview";2025-12-10 17:10:56;2;5;1;1;2;4;3;2;3;1;1;3;"16";5;6;6;5;6;3;5;3;4;3;4;1;1;1;2;4;8;110;234;31;383;;2025-12-10 17:17:19;"complete";1;0;4;4;0;0;0.73
